system,site,persistence,n_frames,mean_score,mean_drugg,mean_volume,cx,cy,cz,tier,nearest_prod_dist,classification
S4_CD2AP_SH3-2,104,0.1106,44,0.1422,0.0766,360.5,34.63,36.4,33.91,Tier2,6.5,canonical
S4_CD2AP_SH3-2,59,0.1055,42,0.1605,0.1149,343.6,33.78,29.46,23.89,Tier2,2.3,canonical
S4_CD2AP_SH3-2,44,0.0905,36,0.1809,0.2239,384.4,34.26,25.04,32.27,Tier2,3.9,canonical
S4_CD2AP_SH3-2,7,0.0879,35,0.2139,0.1427,307.8,27.15,25.47,22.45,Tier2,6.5,canonical
S4_CD2AP_SH3-2,23,0.0854,34,0.2141,0.154,376.2,28.72,22.44,31.14,Tier2,4.6,canonical
S4_CD2AP_SH3-2,115,0.0829,33,0.2095,0.0998,283.2,23.49,31.2,25.44,Tier2,1.7,canonical
S4_CD2AP_SH3-2,43,0.0829,33,0.1645,0.0786,375.7,34.1,21.84,36.05,Tier2,8.2,canonical
S4_CD2AP_SH3-2,50,0.0804,32,0.1539,0.1118,357.1,36.36,28.01,34.7,Tier2,4.3,canonical
S4_CD2AP_SH3-2,19,0.0754,30,0.1963,0.261,415.5,28.55,26.05,30.76,Tier2,6.5,canonical
S4_CD2AP_SH3-2,84,0.0754,30,0.1538,0.0281,292.2,25.42,30.92,19.19,Tier2,6.6,canonical
S4_CD2AP_SH3-2,0,0.0754,30,0.2486,0.2164,349.1,23.2,25.46,27.22,Tier2,6.5,canonical
S4_CD2AP_SH3-2,56,0.0729,29,0.2046,0.2081,334.7,30.78,32.66,33.22,Tier2,3.5,canonical
S4_CD2AP_SH3-2,120,0.0729,29,0.1733,0.1136,346.1,23.63,35.49,29.44,Tier2,6.4,canonical
S4_CD2AP_SH3-2,71,0.0729,29,0.1584,0.0768,322.8,36.17,36.04,27.78,Tier2,8.6,canonical
S4_CD2AP_SH3-2,98,0.0678,27,0.1259,0.1238,307.6,28.59,36.93,32.64,Tier2,3.8,canonical
S4_CD2AP_SH3-2,64,0.0653,26,0.1602,0.1412,407.2,29.03,20.93,26.27,Tier2,0.9,canonical
S4_CD2AP_SH3-2,65,0.0628,25,0.1797,0.1704,332.8,33.1,24.47,25.11,Tier2,6.2,canonical
S4_CD2AP_SH3-2,54,0.0628,25,0.1663,0.1323,306.4,28.68,30.28,36.44,Tier2,4.2,canonical
S4_CD2AP_SH3-2,55,0.0628,25,0.2146,0.2797,377.4,32.17,28.78,32.39,Tier2,5.4,canonical
S4_CD2AP_SH3-2,121,0.0628,25,0.1996,0.3438,428.3,28.69,33.4,28.33,Tier2,7.1,canonical
S4_CD2AP_SH3-2,89,0.0603,24,0.1622,0.098,314.1,31.44,26.45,19.26,Tier2,5.6,canonical
S4_CD2AP_SH3-2,117,0.0603,24,0.144,0.126,305.7,19.72,27.53,28.49,Tier2,5.8,canonical
S4_CD2AP_SH3-2,27,0.0578,23,0.162,0.108,343.5,23.22,25.53,33.97,Tier2,10.0,canonical
S4_CD2AP_SH3-2,58,0.0578,23,0.1827,0.1502,412.2,26.08,33.45,35.75,Tier2,2.7,canonical
S4_CD2AP_SH3-2,30,0.0578,23,0.2021,0.0997,318.1,23.52,30.12,32.69,Tier2,7.2,canonical
S4_CD2AP_SH3-2,49,0.0553,22,0.1672,0.1043,314.1,29.08,26.59,37.27,Tier2,8.0,canonical
S4_CD2AP_SH3-2,61,0.0553,22,0.0862,0.2327,522.5,35.76,31.12,31.16,Tier2,4.1,canonical
S4_CD2AP_SH3-2,20,0.0528,21,0.16,0.3858,493.8,29.16,27.7,27.34,Tier2,6.9,canonical
S4_CD2AP_SH3-2,116,0.0528,21,0.197,0.1032,298.8,19.16,32.38,29.08,Tier2,5.2,canonical
S4_CD2AP_SH3-2,21,0.0503,20,0.2199,0.1041,366.9,26.47,19.43,33.04,Tier2,6.6,canonical
S4_CD2AP_SH3-2,6,0.0503,20,0.1638,0.0752,277.3,27.12,21.79,20.29,Tier2,6.8,canonical
S4_CD2AP_SH3-2,2,0.0503,20,0.1907,0.0887,297.3,18.95,22.16,29.41,Tier2,9.9,canonical
S4_CD2AP_SH3-2,52,0.0477,19,0.161,0.1274,314.7,35.39,33.33,38.1,Noise,7.4,canonical
S4_CD2AP_SH3-2,1,0.0452,18,0.2152,0.089,339.0,21.04,25.25,22.7,Noise,6.5,canonical
S4_CD2AP_SH3-2,67,0.0452,18,0.219,0.0722,312.4,36.99,22.43,19.48,Noise,7.9,canonical
S4_CD2AP_SH3-2,74,0.0452,18,0.1787,0.1229,299.3,31.63,38.57,22.26,Noise,9.5,canonical
S4_CD2AP_SH3-2,99,0.0452,18,0.1977,0.1079,342.8,28.89,37.33,38.5,Noise,4.3,canonical
S4_CD2AP_SH3-2,11,0.0452,18,0.1388,0.0088,272.8,25.02,20.02,25.9,Noise,3.6,canonical
S4_CD2AP_SH3-2,66,0.0427,17,0.2214,0.0942,317.0,33.81,21.28,23.31,Noise,6.5,canonical
S4_CD2AP_SH3-2,122,0.0427,17,0.1964,0.0664,337.0,29.56,38.09,28.2,Noise,8.1,canonical
S4_CD2AP_SH3-2,72,0.0427,17,0.1591,0.1262,326.4,36.13,34.04,23.93,Noise,4.8,canonical
S4_CD2AP_SH3-2,62,0.0427,17,0.1509,0.1522,320.3,35.93,27.28,27.55,Noise,3.2,canonical
S4_CD2AP_SH3-2,123,0.0427,17,0.1758,0.2052,310.4,27.59,35.69,25.11,Noise,7.1,canonical
S4_CD2AP_SH3-2,87,0.0402,16,0.2232,0.1109,332.8,28.94,33.6,22.1,Noise,7.3,canonical
S4_CD2AP_SH3-2,70,0.0402,16,0.1332,0.0577,315.1,40.01,20.96,25.73,Noise,8.5,canonical
S4_CD2AP_SH3-2,91,0.0402,16,0.1679,0.0591,316.2,36.04,32.55,19.43,Noise,3.9,canonical
S4_CD2AP_SH3-2,69,0.0377,15,0.1723,0.0597,286.4,38.87,25.23,23.97,Noise,6.2,canonical
S4_CD2AP_SH3-2,26,0.0377,15,0.1785,0.0371,273.3,23.97,29.14,39.82,Noise,8.3,canonical
S4_CD2AP_SH3-2,90,0.0377,15,0.2255,0.0963,347.6,32.26,32.33,18.93,Noise,5.0,canonical
S4_CD2AP_SH3-2,68,0.0377,15,0.1023,0.0675,310.2,36.6,23.04,28.19,Noise,4.9,canonical
S4_CD2AP_SH3-2,113,0.0377,15,0.1851,0.0274,350.6,20.78,34.25,22.61,Noise,3.8,canonical
S4_CD2AP_SH3-2,97,0.0377,15,0.1693,0.0052,354.7,27.14,41.08,33.59,Noise,7.1,canonical
S4_CD2AP_SH3-2,48,0.0352,14,0.2398,0.131,333.2,30.77,23.47,39.13,Noise,11.3,CRYPTIC
S4_CD2AP_SH3-2,53,0.0352,14,0.1592,0.1193,290.3,39.38,31.92,35.77,Noise,7.4,canonical
S4_CD2AP_SH3-2,106,0.0327,13,0.1109,0.1249,459.2,36.73,36.81,36.1,Noise,8.5,canonical
S4_CD2AP_SH3-2,103,0.0327,13,0.1501,0.0335,328.9,30.58,41.91,30.13,Noise,9.4,canonical
S4_CD2AP_SH3-2,102,0.0327,13,0.1552,0.0457,341.7,33.23,39.04,28.69,Noise,9.4,canonical
S4_CD2AP_SH3-2,28,0.0327,13,0.2028,0.053,311.7,19.11,30.89,32.99,Noise,8.7,canonical
S4_CD2AP_SH3-2,85,0.0302,12,0.1083,0.0712,392.4,26.19,36.05,20.52,Noise,7.6,canonical
S4_CD2AP_SH3-2,60,0.0302,12,0.1565,0.1477,299.9,33.36,32.22,28.44,Noise,6.5,canonical
S4_CD2AP_SH3-2,40,0.0302,12,0.1501,0.0398,287.0,39.7,22.01,36.4,Noise,8.3,canonical
S4_CD2AP_SH3-2,119,0.0302,12,0.1923,0.0275,298.1,23.44,40.39,31.34,Noise,8.9,canonical
S4_CD2AP_SH3-2,94,0.0302,12,0.2012,0.0202,325.0,22.78,39.79,25.07,Noise,8.5,canonical
S4_CD2AP_SH3-2,118,0.0276,11,0.158,0.0587,283.8,20.03,37.79,31.96,Noise,9.8,canonical
S4_CD2AP_SH3-2,38,0.0276,11,0.1785,0.0268,257.4,33.25,20.13,30.96,Noise,6.4,canonical
S4_CD2AP_SH3-2,15,0.0276,11,0.2022,0.0605,313.0,23.14,23.88,39.14,Noise,12.4,CRYPTIC
S4_CD2AP_SH3-2,22,0.0276,11,0.2185,0.1105,368.9,27.69,23.17,35.87,Noise,9.3,canonical
S4_CD2AP_SH3-2,82,0.0276,11,0.1335,0.0454,352.5,31.77,38.13,17.25,Noise,10.2,CRYPTIC
S4_CD2AP_SH3-2,110,0.0276,11,0.2246,0.0145,248.2,18.13,29.09,19.85,Noise,6.6,canonical
S4_CD2AP_SH3-2,63,0.0276,11,0.1228,0.0668,300.9,38.84,30.14,27.92,Noise,4.3,canonical
S4_CD2AP_SH3-2,25,0.0251,10,0.211,0.0501,239.4,22.26,33.95,40.13,Noise,7.9,canonical
S4_CD2AP_SH3-2,100,0.0251,10,0.1173,0.0112,296.5,23.57,38.1,35.41,Noise,6.3,canonical
S4_CD2AP_SH3-2,10,0.0251,10,0.158,0.0581,303.2,26.05,17.11,29.99,Noise,5.4,canonical
S4_CD2AP_SH3-2,17,0.0251,10,0.2323,0.1823,328.6,26.75,19.59,39.44,Noise,12.8,CRYPTIC
S4_CD2AP_SH3-2,75,0.0251,10,0.1579,0.049,379.5,42.34,33.01,25.53,Noise,8.7,canonical
S4_CD2AP_SH3-2,29,0.0251,10,0.1844,0.1209,370.3,21.2,33.25,35.11,Noise,7.5,canonical
S4_CD2AP_SH3-2,16,0.0251,10,0.139,0.0212,249.3,16.97,24.35,37.01,Noise,14.9,CRYPTIC
S4_CD2AP_SH3-2,111,0.0251,10,0.2003,0.0697,207.4,16.57,34.49,24.29,Noise,6.2,canonical
S4_CD2AP_SH3-2,114,0.0226,9,0.1861,0.0887,318.6,17.83,38.07,36.3,Noise,11.4,CRYPTIC
S4_CD2AP_SH3-2,8,0.0226,9,0.1993,0.0171,310.7,21.48,22.1,19.93,Noise,9.9,canonical
S4_CD2AP_SH3-2,73,0.0226,9,0.2246,0.1288,280.4,36.82,37.5,20.19,Noise,8.2,canonical
S4_CD2AP_SH3-2,39,0.0201,8,0.1289,0.0129,319.9,33.7,17.61,26.79,Noise,6.2,canonical
S4_CD2AP_SH3-2,51,0.0201,8,0.2811,0.1459,340.7,36.02,27.09,39.38,Noise,8.9,canonical
S4_CD2AP_SH3-2,4,0.0201,8,0.2047,0.0321,284.4,20.49,19.6,25.49,Noise,8.1,canonical
S4_CD2AP_SH3-2,57,0.0201,8,0.1791,0.0659,275.4,31.57,31.31,41.54,Noise,7.5,canonical
S4_CD2AP_SH3-2,81,0.0201,8,0.2037,0.0236,285.8,29.14,34.93,15.89,Noise,10.0,CRYPTIC
S4_CD2AP_SH3-2,107,0.0176,7,0.0789,0.0079,237.7,14.72,28.32,33.42,Noise,11.7,CRYPTIC
S4_CD2AP_SH3-2,37,0.0176,7,0.1183,0.0039,330.7,37.86,16.37,30.3,Noise,10.9,CRYPTIC
S4_CD2AP_SH3-2,77,0.0176,7,0.1993,0.045,223.2,41.56,34.63,20.75,Noise,8.2,canonical
S4_CD2AP_SH3-2,76,0.0176,7,0.0857,0.0401,246.5,38.84,29.78,22.16,Noise,3.7,canonical
S4_CD2AP_SH3-2,18,0.0176,7,0.1994,0.0036,328.3,20.59,18.78,38.31,Noise,14.0,CRYPTIC
S4_CD2AP_SH3-2,9,0.0176,7,0.0799,0.1146,353.1,22.74,26.23,18.37,Noise,8.3,canonical
S4_CD2AP_SH3-2,96,0.0151,6,0.1582,0.0535,291.4,27.84,41.74,23.02,Noise,12.1,CRYPTIC
S4_CD2AP_SH3-2,13,0.0151,6,0.1387,0.0377,219.4,29.48,14.57,25.2,Noise,6.6,canonical
S4_CD2AP_SH3-2,93,0.0151,6,0.2768,0.0637,259.2,35.12,27.79,16.82,Noise,5.5,canonical
S4_CD2AP_SH3-2,86,0.0151,6,0.1733,0.2327,309.4,28.92,30.22,23.54,Noise,6.4,canonical
